38 Provinsi,,,
,Jumlah Korban Manusia yang Diakibatkan Bencana Alam Menurut Provinsi (Orang),,
,Meninggal Dunia,Luka/Sakit,Hilang
,2016,2016,2016
ACEH,113,944,1
SUMATERA UTARA,38,27,4
SUMATERA BARAT,29,38,7
RIAU,1,-,-
JAMBI,2,4,16
SUMATERA SELATAN,2,4,1
BENGKULU,6,8,3
LAMPUNG,-,5,1
KEP. BANGKA BELITUNG,3,4,-
KEP. RIAU,-,-,1
DKI JAKARTA,7,8,-
JAWA BARAT,78,86,23
JAWA TENGAH,85,101,11
DI YOGYAKARTA,4,5,-
JAWA TIMUR,19,48,2
BANTEN,6,4,-
BALI,-,6,-
NUSA TENGGARA BARAT,3,1310,-
NUSA TENGGARA TIMUR,3,4,-
KALIMANTAN BARAT,1,-,-
KALIMANTAN TENGAH,-,-,-
KALIMANTAN SELATAN,3,6,-
KALIMANTAN TIMUR,6,3,1
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,13,-,2
SULAWESI TENGAH,1,1,-
SULAWESI SELATAN,6,43,2
SULAWESI TENGGARA,-,-,-
GORONTALO,5,-,-
SULAWESI BARAT,-,1,-
MALUKU,1,14,-
MALUKU UTARA,-,4,-
PAPUA BARAT,5,-,6
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,440,2678,81